Match #,Team 1,Team 2,Perfect Cut,Acceptable Cut
1,"B,E","C,D",,✓
2,"I,K","G,H",,✓
3,"F,G","A,J",,✓
4,"C,K","B,I",,✓
5,"I,J","D,E",,
6,"F,K","C,G",,
7,"E,J","H,I",,
8,"C,G","A,D",,
9,"B,D","F,I",,
10,"A,K","E,H",,
11,"B,J","C,K",,
12,"G,H","C,D",,
13,"B,J","F,I",,
14,"C,E","D,G",,
15,"J,K","B,C",,
16,"I,K","A,G",,
17,"E,F","H,K",,
18,"D,I","B,K",,
19,"A,I","C,J",,
20,"D,F","E,G",,
21,"A,B","H,K",,
22,"C,G","E,I",,
23,"C,F","D,J",,
24,"E,H","A,B",,
25,"G,K","F,H",,
26,"D,I","A,J",,
27,"B,F","C,I",,
28,"D,G","E,H",,
29,"D,K","I,J",,
30,"A,B","D,K",,
31,"C,H","D,F",,
32,"E,J","H,I",,
33,"F,G","A,J",,
34,"D,I","A,K",,
35,"B,H","A,E",,
36,"C,E","F,K",,
37,"A,D","F,G",,
38,"B,G","F,J",,
39,"A,E","B,F",,
40,"E,F","G,H",,
41,"B,C","G,H",,
42,"D,J","A,E",,
43,"G,J","C,H",,
44,"A,J","B,E",,
